s#	sname	sex	bdate	height	dorm
08064651	文长歌辰	男	2004-5-28	1.43	南3舍909
04026661	司空友茂	男	2004-7-20	1.93	西14舍824
06094041	缪菊	女	2000-1-31	1.87	南20舍633
07086424	沃钧	男	2003-2-18	1.62	西2舍731
06056775	莫云	女	2001-6-7	1.68	西5舍518
07085346	荣上天	男	2000-7-4	1.88	西1舍237
06095078	何九荔	女	2001-10-31	1.76	北6舍735
04077363	宗马德	男	2002-8-7	1.75	东15舍326
09046895	卢凯顺	男	2001-9-2	1.47	西24舍511
09059402	瞿电峰	男	2004-4-28	1.8	东13舍331
06055869	富卡盛	男	2002-4-11	1.85	东8舍925
06085906	跋夹仁影	女	2002-11-27	1.86	东22舍214
08074732	崔鹏	男	2002-11-12	1.48	东10舍933
05044596	季智叶	女	2004-9-16	1.93	南20舍936
02035038	邢易纯	女	2004-3-19	1.42	北12舍118
05072344	禹晶	女	2004-12-25	1.54	北24舍927
06029941	董倩	女	2002-2-14	1.72	东22舍637
06067413	弓信怡	女	2001-4-21	1.77	南19舍829
02074536	韦钰咏	女	2004-12-6	1.6	南13舍238
02054903	殴马贞	女	2001-2-25	1.77	北23舍626
06049871	常影	女	2003-9-21	1.94	南13舍235
08077311	双智冰	女	2004-6-7	1.44	北18舍918
02049639	农芝	女	2004-6-17	1.65	南24舍335
02006961	宗云	女	2001-9-14	1.8	南2舍219
05032521	康奇	男	2001-7-26	1.73	东17舍724
02048239	汤宁	女	2001-2-2	1.8	西5舍729
04003072	葛华	女	2003-4-23	1.95	南7舍838
04015698	毛春	女	2002-4-28	1.62	西10舍539
09035336	皇甫凯飘	女	2000-7-26	1.77	东20舍321
02058357	舒琼	女	2002-4-9	1.71	东13舍922
09062932	邱安	男	2003-8-31	1.5	南20舍521
02052611	冉翔	男	2002-8-14	1.86	北18舍732
02042976	韦超	男	2003-2-17	1.84	南6舍816
06007384	和贝学	男	2003-1-22	1.85	北22舍921
06025849	巴希	女	2002-5-13	1.4	北22舍216
08033348	田芸	女	2003-7-1	1.94	西12舍724
04023405	跋夹苑	女	2004-1-31	1.99	西6舍333
09017723	于智梁	男	2004-12-5	1.83	南5舍815
07068289	沈薇	女	2001-5-4	1.5	东14舍115
02083060	熊菊	女	2004-8-27	1.72	南6舍437
06033522	弓电力	男	2001-2-4	1.59	南3舍603
09025047	向好茜	女	2004-10-6	1.66	北18舍718
09049372	闫好豪	男	2004-8-20	1.84	北8舍502
07023773	云义君	女	2000-3-21	1.73	东14舍416
06077387	洪器菲	女	2001-5-29	1.96	西5舍129
09043263	侯诸奇	男	2004-3-13	1.97	北2舍611
09090551	程无蓓	女	2004-12-10	1.49	北16舍119
08094127	魏朗	男	2004-7-30	1.71	北2舍517
04082290	殴笑浩	男	2003-10-10	1.89	北24舍501
07010906	郁马伊	女	2004-3-27	1.54	南13舍315
06051202	胡义厚	男	2002-5-27	1.98	西12舍834
09084371	居子	男	2002-4-5	1.49	南7舍615
09045215	鱼黛	女	2003-2-16	1.53	西2舍815
05028433	公孙智雅	女	2000-4-12	1.7	北16舍803
08022722	元仁娅	女	2002-9-19	1.56	南24舍918
04013767	和玉山	男	2003-4-4	1.74	西18舍712
05038902	贾露	女	2000-10-28	1.85	北6舍239
05016754	韩被叶	女	2000-10-18	1.66	北9舍122
02044232	禹卡辰	男	2001-2-24	1.87	东14舍738
08082797	迟公珊	女	2001-1-17	1.77	西17舍301
09046951	夏凯朗	男	2000-2-12	1.57	北15舍212
07047541	粱上腾	男	2004-3-6	1.5	东13舍622
08016010	山莲	女	2002-4-28	1.81	西19舍608
08004220	伍无晨	男	2003-2-3	1.73	东18舍414
07028644	干强	男	2001-2-25	1.64	东21舍216
08004925	岑中莺	女	2001-11-22	1.75	南19舍317
04090413	庞凯毅	男	2000-1-6	1.85	南12舍203
08020523	褚明	男	2001-11-27	1.74	北14舍415
04010943	呼延电星	男	2000-12-31	1.71	北7舍607
08056233	高岚	女	2003-2-24	1.45	南8舍501
08011826	古静	女	2002-1-1	1.94	北17舍425
06087486	彭无琼	女	2001-4-11	1.61	南19舍633
04040013	郎电萍	女	2002-1-15	1.71	南3舍413
08084864	吕泰	男	2004-11-26	1.82	东23舍118
09013407	宰父竹	女	2002-2-2	1.8	西17舍931
02023472	詹金军	男	2004-10-25	1.86	西22舍503
02044431	焦义震	男	2004-10-31	1.52	东15舍702
08086292	吉电真	女	2004-11-14	1.47	东8舍826
02074081	毕友树	男	2000-8-29	2.0	北15舍126
09012162	沈霞	女	2000-10-31	1.57	东14舍826
04064569	亓官九富	男	2003-3-18	1.95	西21舍229
05040426	林世	男	2001-2-2	1.62	西24舍215
08013541	袁智寒	女	2003-8-28	1.43	西21舍702
09046175	燕珊	女	2001-2-14	1.84	北22舍709
09006999	卫义士	男	2001-11-17	1.51	南14舍711
06095606	红萍	女	2001-8-19	1.9	北3舍327
09083276	屈歌有	男	2002-8-30	1.93	南23舍723
08028572	左金枫	女	2001-7-26	1.91	南7舍929
05017267	江歌露	女	2004-5-27	1.81	南23舍523
08075745	包国	男	2002-12-21	1.55	西20舍838
06060775	干泽	男	2001-8-24	1.67	南15舍335
04070343	宋欣	女	2002-2-11	1.92	南13舍723
05008291	边凯伊	女	2004-9-1	1.52	西14舍818
05086651	董莉	女	2001-2-18	1.45	北14舍914
02008311	弘楠	男	2002-9-6	1.44	东15舍325
04023490	干孝红	女	2001-7-28	1.94	南2舍224
08033980	薛钰静	女	2003-5-23	1.44	东22舍925
08051017	汤炎	男	2003-8-14	1.9	北6舍224
05086045	洪友芳	女	2004-8-18	1.67	东6舍103
05084729	邴电博	男	2004-10-23	1.6	东5舍626
09089640	路中松	男	2003-11-13	1.84	西8舍218
08059876	程钰会	男	2004-6-13	1.71	东4舍325
05051587	井善	男	2003-8-10	1.42	东1舍613
04073039	戴好琳	女	2002-11-1	1.65	东10舍529
08031103	黎辉	男	2003-7-20	1.95	东6舍212
02041171	崔健	男	2003-6-16	1.71	南4舍337
07051370	郭仁可	女	2001-1-18	1.7	北1舍723
05036927	鱼歌伊	女	2000-11-10	1.69	北7舍627
07071720	漆雕器筠	女	2004-8-10	1.47	东2舍607
05076450	宗富	男	2004-2-18	1.92	东23舍509
04037004	郝卡彩	女	2000-7-19	1.84	西13舍109
09043434	黎被艺	女	2000-11-29	1.56	东6舍627
09065217	俞柔	女	2003-5-16	1.67	北13舍331
06032654	终策	男	2002-4-12	1.71	东6舍206
04004582	喻香	女	2000-3-19	1.55	东23舍839
07048224	柯卡璧	女	2003-11-14	1.92	南24舍639
07075920	关贝伊	女	2000-5-13	1.56	南23舍533
08068819	边旭	男	2003-2-27	1.65	西20舍612
08036901	牛器亮	男	2000-2-2	1.67	西4舍913
07069610	时中素	女	2004-9-18	1.6	东2舍324
04038273	贝义玉	女	2001-6-4	1.79	北11舍522
04012526	李礼克	男	2003-6-1	1.84	东16舍723
06085232	乐智香	女	2004-1-26	1.77	北24舍238
08054340	岑瑗	女	2003-4-26	1.88	南7舍317
08095155	黎先	男	2000-12-18	1.75	西13舍105
09003669	钱上致	男	2004-10-4	1.76	东20舍206
06049815	长孙露	女	2003-9-1	1.87	西24舍414
09015763	龚芝	女	2003-10-12	1.59	南3舍837
08077395	赵都娥	女	2004-3-9	1.71	北14舍414
06072379	干笑会	男	2004-10-13	1.84	东15舍129
09022247	冯娥	女	2001-7-18	1.49	西1舍205
02033116	双电清	男	2004-6-7	1.93	东9舍434
02085320	束芬	女	2001-4-28	1.46	东7舍218
02095726	弓民	男	2000-9-23	1.93	南23舍321
08014587	西漆风	男	2000-4-1	1.43	西18舍227
07005887	司上安	男	2003-6-11	1.82	东19舍824
04015184	元姬	女	2003-2-6	1.56	南4舍602
04089097	房亮	男	2001-2-24	2.0	东12舍725
07008243	蒋保	男	2001-4-19	1.77	东14舍913
07090884	储礼怡	女	2001-3-22	1.98	东13舍214
06021916	胡友博	男	2004-6-14	1.46	南25舍413
05053804	穆文	男	2000-3-20	1.42	南24舍735
05056763	于贝炎	男	2003-9-23	1.54	西12舍931
02059246	双凡	女	2000-5-16	1.56	南20舍223
06073069	傅丹	女	2004-11-3	1.65	东17舍133
07097026	高怡	女	2003-3-16	1.63	南8舍225
09050756	步舒	女	2002-1-29	1.44	东18舍226
07023491	施娅	女	2001-7-9	1.92	东1舍129
09037270	桓信朋	男	2000-1-16	1.93	东25舍831
07059177	祖上志	男	2000-4-19	1.66	西19舍405
08003619	齐笑雪	女	2004-1-17	1.45	东23舍821
02072600	费好贵	男	2002-3-10	1.76	北1舍939
06020227	杭黛	女	2000-2-10	1.97	北3舍209
02019888	贾强	男	2004-6-4	1.86	东11舍402
06055143	卢欢	女	2004-7-22	1.49	东6舍236
04008779	骆可	女	2000-3-22	1.65	西13舍136
08008154	包孝群	男	2001-7-27	1.57	东20舍326
08038282	滕笑民	男	2000-10-28	1.75	北15舍913
08034309	明琴	女	2000-2-7	1.94	东17舍333
04065374	花玉	女	2001-10-19	1.49	南4舍501
08044058	朱金雄	男	2004-7-2	1.87	南8舍433
08089580	终亚	女	2002-2-16	1.97	北24舍704
05010309	隗超	男	2000-3-11	1.96	北4舍609
04063316	夏冠	男	2003-9-6	1.67	南10舍602
05071616	幸哲	男	2003-8-19	1.44	北12舍801
05070078	颜马策	男	2004-4-2	1.62	南18舍908
02071099	齐娥	女	2003-7-7	1.44	东5舍526
09009352	都政	男	2000-9-26	1.8	北1舍912
02032285	滑中	男	2004-9-8	1.88	南11舍503
06039320	瞿器义	男	2004-1-10	1.86	北2舍507
06078223	寇仉信锦	女	2001-5-14	1.59	西10舍816
08063407	乌妹	女	2004-12-21	1.83	南24舍505
04093040	应钰发	男	2003-2-19	1.4	西10舍131
02013671	贝春	女	2001-6-16	1.94	北21舍315
06035679	骆九亨	男	2002-5-8	1.81	南15舍923
07065560	阮婕	女	2004-9-21	1.78	南12舍825
08019898	益器佳	女	2002-3-21	1.44	南18舍206
06074459	贾马凡	女	2002-8-14	1.93	东3舍425
07028918	井功	男	2000-9-13	1.86	西23舍614
06020478	危平	男	2001-2-9	1.9	南8舍336
08045903	红钰楠	男	2004-7-3	1.69	南11舍231
09002341	米凤	女	2004-1-22	1.85	西10舍839
08078582	万俟菲	女	2004-6-23	1.59	东23舍227
04021184	袁雁	女	2002-7-15	1.67	东19舍634
02036859	田娥	女	2003-6-25	1.42	北21舍215
06059295	终倩	女	2003-10-27	1.48	北25舍639
08083144	朱永	男	2000-6-9	1.45	北25舍906
05063467	骆旭	男	2002-7-4	1.88	南17舍602
06066218	卜雪	女	2000-3-11	1.52	西15舍837
05067393	湛九旭	男	2003-10-16	1.42	东11舍929
05091988	姬庆	男	2000-9-12	1.69	南2舍106
09012362	羊马琼	女	2004-3-9	1.78	北18舍222
02081265	屈电玲	女	2003-6-9	1.8	东2舍336
04065877	方义荔	女	2001-7-9	1.49	西4舍433
07074687	古都韵	女	2003-12-30	1.59	南5舍924
04098042	江艳	女	2002-12-5	1.66	北24舍104
04046063	褚叶	女	2002-9-19	1.41	南15舍617
02028427	汤乐	男	2000-7-25	1.64	北3舍807
06018377	刘上萍	女	2003-11-7	1.95	南9舍129
08031486	邴江	男	2001-7-15	1.59	东11舍406
07075460	邓泰	男	2000-3-14	1.44	东21舍419
06052006	霍忠志	男	2000-9-21	1.55	西5舍119
05070227	华育	女	2000-2-20	2.0	西17舍333
06077378	邱信爱	女	2000-12-11	1.41	东12舍832
08064279	干马良	男	2002-9-8	1.45	西7舍235
06095206	冉都宁	男	2001-9-19	1.8	北23舍332
02017774	缪毅	男	2002-9-21	1.47	东8舍706
04097404	司友丹	女	2003-2-5	1.78	东9舍202
09044972	邬中素	女	2003-2-15	1.87	北15舍518
09083936	莘江	男	2001-3-28	1.47	南14舍426
08018768	乐友瑾	女	2004-11-8	1.44	西3舍216
04063696	容环	女	2004-7-22	1.97	西3舍915
07084315	詹钰琳	女	2002-4-7	1.58	南24舍918
04095458	莘伯	男	2004-2-2	1.57	南23舍424
09037314	宣上馥	女	2003-5-22	1.76	西16舍821
04051575	晋笑亨	男	2000-11-8	1.84	东19舍607
05050387	左寒	女	2004-7-6	1.58	北13舍528
02005002	闫之	男	2004-5-29	1.52	东21舍118
07034790	尉迟泽	男	2002-4-2	1.53	北14舍119
06093014	祖钰力	男	2004-11-28	1.74	东10舍106
04071712	冉琦	女	2001-5-13	1.74	北19舍637
08045339	台公兰	女	2002-8-11	1.89	东15舍522
05040786	屈可	女	2001-3-26	1.94	西5舍806
05044598	官欧婉	女	2002-1-29	1.73	东13舍317
05093419	干海	男	2004-10-15	1.92	西24舍224
02058685	左忠致	男	2002-5-8	1.99	西9舍609
07018362	淳于仁薇	女	2004-10-25	1.83	西15舍924
05020087	楚若	男	2000-3-21	1.65	南3舍139
04051318	杜马谦	男	2003-4-1	1.8	西1舍616
04068837	彭笑伊	女	2001-11-1	1.67	东2舍225
06072836	干忠悦	女	2001-3-31	1.67	西1舍617
09054468	陆歌强	男	2000-2-11	1.55	东7舍417
02079719	褚朋	男	2002-11-13	1.73	西12舍927
07014520	祝马谦	男	2004-12-9	1.86	西6舍129
04086111	万卿	女	2004-3-23	1.49	东11舍931
08004946	金德	男	2001-5-31	1.45	南18舍211
09010457	贝晶	女	2003-7-6	1.73	东19舍135
02071813	满无霞	女	2004-5-6	1.84	西18舍127
08055295	幸友国	男	2002-3-25	1.8	南10舍327
08005143	元仁壮	男	2004-8-25	1.84	东24舍129
06007362	和毅	男	2000-9-29	1.67	东18舍331
08090857	齐笑翠	女	2003-9-19	1.66	东6舍525
05004257	都九维	男	2002-6-30	1.41	西22舍103
08069149	范英	女	2001-4-10	1.55	东17舍408
09036776	晋马固	男	2001-7-30	1.52	北5舍434
04028804	夏羽	女	2003-5-8	1.6	西12舍216
04073399	许伯	男	2002-8-6	1.96	南10舍601
05099825	禹电江	男	2002-7-26	1.65	西11舍126
08058301	燕武	男	2003-7-18	1.66	南17舍214
02075309	居杰	男	2000-5-30	1.63	东18舍612
07029279	杭才	男	2004-4-25	1.44	北11舍521
08008961	良拓哲	男	2002-10-2	1.62	东17舍412
02008207	冀无荔	女	2003-1-5	1.46	西4舍804
02051144	彭伊	女	2001-6-20	1.61	东20舍734
08048501	傅翠	女	2004-2-8	1.98	西13舍138
08060850	邴义奇	男	2003-9-17	1.89	北11舍616
06066063	魏中琼	女	2000-12-10	1.58	南23舍911
05051552	农贝刚	男	2003-4-27	1.57	西23舍408
02015568	黎聪	女	2004-10-7	1.43	西21舍601
09033221	麻无瑾	女	2001-5-4	1.61	北1舍107
08001306	颜被清	男	2001-6-15	1.97	北2舍929
04049759	赵信瑶	女	2003-8-15	1.52	北5舍318
09076846	狄加志	男	2001-9-21	1.47	南24舍603
06017851	冶宗咏	女	2003-12-11	1.76	西12舍935
02031521	谢孝松	男	2004-2-27	1.43	南18舍436
05055699	林真	女	2003-1-9	1.42	西14舍713
07072674	正壤九珊	女	2001-2-9	1.85	东22舍428
05028345	公西毅	男	2001-10-24	1.49	东24舍337
07065627	隗笑冠	男	2001-9-19	1.65	西18舍835
06059526	褚信发	男	2003-11-20	1.93	南2舍624
06040257	滕绍	男	2004-2-16	1.41	西24舍711
08049716	华忠倩	女	2004-3-2	1.77	南22舍635
04031034	刁凤	女	2004-7-29	1.4	西4舍931
02090300	苍娥	女	2002-5-14	1.68	南11舍513
09067473	席凯鹏	男	2002-6-21	1.5	南15舍821
09053531	孙轩忠俊	男	2004-6-6	1.95	西25舍235
05001039	邹贞	女	2001-2-28	1.42	南24舍202
05082750	晏兴	男	2000-2-20	1.99	南1舍219
06051220	鲍新	男	2004-9-30	1.61	北20舍933
09034996	屈仁芝	女	2001-10-30	1.72	南7舍632
09091355	邹桂	女	2002-1-9	1.59	北4舍116
07022826	姚琛	男	2000-2-24	1.8	北25舍637
07086584	闾丘群	男	2001-5-4	1.83	西24舍932
06013798	许义志	男	2001-5-10	1.7	北17舍139
04029395	倪婷	女	2001-1-4	1.85	西10舍512
09028231	范琦	女	2000-8-20	1.87	北2舍433
09025826	隗良	男	2004-12-7	1.87	南13舍522
04032253	庄被义	男	2001-6-6	1.59	南8舍905
04052622	晋松	男	2004-5-3	1.45	北22舍811
06024315	项笑武	男	2003-2-2	1.85	南18舍131
09037830	唐宏	男	2004-5-4	1.57	北16舍917
05041075	宋电菁	女	2004-1-9	1.53	西13舍822
02003686	南宫琛	男	2004-10-13	1.77	北13舍623
07068471	马公仁环	女	2000-12-10	1.76	南8舍931
09009101	向无娜	女	2001-5-23	1.6	南21舍614
02086335	茅承	男	2004-7-13	1.95	西4舍431
02094374	莘功	男	2003-12-21	1.47	北19舍536
02060118	陆金军	男	2003-4-12	1.84	南5舍515
08018754	明天	男	2000-2-4	1.97	北15舍523
02034342	邴琼	女	2002-2-28	1.66	西9舍222
07048716	督子妹	女	2002-8-4	1.41	东1舍718
05005266	庄欢	女	2001-4-25	1.76	东11舍529
06082179	靳智雁	女	2002-2-9	1.83	北17舍636
07036935	邱钰惠	女	2000-11-18	1.75	东7舍426
07001477	井菁	女	2001-11-9	1.73	南23舍911
07061158	杭山	男	2003-7-1	1.84	南14舍231
06069905	隗晶	女	2000-2-5	1.93	西4舍127
07010381	梁段树	男	2003-6-18	1.63	东18舍519
09072212	罗礼姣	女	2003-8-21	1.49	东3舍927
08046855	乌彬	男	2004-10-20	1.82	南24舍227
05083766	尹先	男	2002-2-22	1.65	西24舍124
08003507	卢宏	男	2004-6-25	1.9	北17舍501
04003744	乔仁杰	男	2002-7-5	1.93	南5舍503
09047499	娄上晶	女	2003-10-18	1.5	北19舍837
08059580	丘司无艳	女	2001-9-30	1.71	南5舍107
07036561	舒克	男	2002-11-21	1.81	西17舍828
05021099	衡友致	男	2002-2-21	1.7	北20舍324
04099191	郝好以	男	2004-4-8	1.74	南16舍515
09001143	邹礼江	男	2004-2-25	1.71	北17舍524
09007384	顾康	男	2000-9-21	1.81	北3舍137
05050791	公冶中力	男	2003-12-16	1.41	南16舍632
07086806	冉九义	男	2000-11-11	1.65	南13舍518
07082828	武信芸	女	2003-1-13	1.71	东4舍937
05042597	闻茜	女	2003-8-17	1.7	北6舍309
08028405	石中姣	女	2002-10-2	1.85	北21舍219
04078386	邢上淑	女	2002-12-2	1.94	东22舍511
05045750	丘司智月	女	2000-1-2	1.7	南8舍237
05010487	尹孝进	男	2003-1-18	1.57	北14舍306
09022808	高歌松	男	2002-5-22	1.74	东12舍224
06029067	凤斌	男	2003-8-16	1.96	东7舍123
02065252	邱士	男	2003-3-25	1.79	西16舍401
02062993	舒器广	男	2003-2-22	1.86	北8舍131
04032397	马嘉	女	2002-5-20	1.83	北18舍223
07060406	戚信瑾	女	2002-5-7	1.7	东19舍437
09027408	纪忠杰	男	2001-9-7	1.46	南5舍828
05070296	危承	男	2003-12-3	1.4	南6舍631
08004923	狄琴	女	2000-12-11	1.57	东21舍601
04020118	司义心	男	2001-4-23	1.52	西24舍537
05081185	卜良	男	2003-4-2	1.97	南10舍303
06025934	萧凯霄	女	2003-10-2	1.75	北11舍921
02088797	苏梦	女	2004-7-24	1.52	东24舍501
07060992	平红	女	2000-5-26	1.83	北14舍501
04015639	范无荔	女	2004-2-7	1.93	南17舍807
08021999	贺晓	女	2002-5-8	1.8	北18舍934
08025590	朱燕	女	2000-2-15	1.88	北10舍108
08031377	乐正孝莉	女	2004-4-18	1.91	西21舍519
04025959	乔滢	女	2002-6-26	1.7	北9舍625
06057771	席好安	男	2001-5-31	1.81	南3舍233
08028440	陈笑馥	女	2004-11-12	1.66	南12舍523
05045306	戚时	男	2002-9-27	1.75	西6舍303
09058093	云上霞	女	2004-1-3	1.93	南21舍313
08006034	曹忠言	男	2000-7-1	1.86	东13舍228
09083778	尤毅	男	2001-11-30	1.8	北9舍415
06029134	滕电飘	女	2001-3-21	1.7	南25舍919
07093118	伍斌	男	2003-12-27	1.7	北17舍529
04079199	林信巧	女	2004-4-8	1.77	西2舍939
09047300	卫河	男	2001-5-6	1.61	东16舍333
02015238	符孝欢	女	2002-3-28	1.99	东14舍928
07060453	祁好健	男	2003-5-9	1.88	东24舍606
09062667	盛晓	女	2002-2-11	1.68	东17舍234
08052346	龚礼信	男	2004-12-25	1.67	西25舍727
06053823	人东致	男	2003-6-1	1.84	西10舍828
06009986	夹谷礼韵	女	2001-5-20	1.66	西4舍127
06028610	束器琴	女	2004-12-11	1.76	东15舍117
08009340	田友秀	女	2004-9-2	1.95	西6舍304
02023938	伍美	女	2004-5-14	1.88	东21舍137
05067040	隗卡先	男	2002-1-1	1.86	南19舍706
02089039	景电珍	女	2002-1-8	1.87	东7舍621
08084839	景都思	男	2001-7-2	1.92	北6舍633
07080730	温加梁	男	2001-9-18	1.84	北10舍325
07017045	苍平	男	2000-9-15	1.58	东9舍221
07020423	习义滢	女	2003-2-7	1.86	北7舍925
02044052	裴易娜	女	2004-12-4	1.49	北25舍807
04081656	路电世	男	2001-1-13	1.68	南22舍715
09099070	欧阳蓓	女	2001-6-1	1.58	南15舍424
07059910	离宇九叶	女	2004-4-5	1.57	西4舍721
04051148	郑忠毅	男	2000-12-20	1.96	西4舍731
09094827	柯无羽	女	2004-10-12	1.63	西7舍232
02033629	祖妹	女	2004-6-6	1.66	南25舍512
04031729	娄亚	女	2000-9-1	1.55	东13舍817
06031188	宁仁贵	男	2002-12-7	1.97	西25舍532
07010070	闾丘榕	男	2000-2-26	1.64	西12舍123
07033746	澹台茂	男	2002-11-17	1.5	南6舍125
07078625	洪力	男	2001-4-20	1.7	东5舍419
07036458	安好诚	男	2000-3-4	1.51	南17舍427
06026330	项谦	男	2000-5-21	1.64	北16舍811
05038220	苗明	男	2003-9-5	1.8	东24舍934
05081940	麻马胜	男	2002-10-28	1.42	西22舍503
07026252	侯磊	男	2004-5-27	1.65	东24舍523
04039553	解妹	女	2003-10-24	1.49	东13舍509
04044441	洪信婕	女	2003-3-7	1.69	北5舍238
08041892	潘婷	女	2001-4-9	1.79	北17舍835
06057402	钟生	男	2000-4-24	1.67	北17舍613
04051711	卫笑群	男	2002-4-30	1.48	东1舍319
06009060	丁义勇	男	2001-1-4	1.5	东20舍327
09048239	武贝蕊	女	2001-7-16	1.5	北4舍814
09084297	童好倩	女	2004-2-6	1.51	南14舍305
08000134	孟器顺	男	2002-1-9	1.55	北10舍437
09060871	汤学	男	2000-7-16	1.69	南14舍934
09021864	屠公卡晨	男	2001-8-26	1.93	北1舍705
08079178	仇舒	女	2002-10-15	1.61	西6舍228
05001114	吉园	女	2002-5-14	1.43	南9舍437
09025312	卞善	男	2004-12-5	1.53	北9舍626
05066566	蔡中志	男	2003-10-14	1.45	西12舍704
09001208	牧中竹	女	2004-6-22	1.47	西10舍939
07071214	熊中素	女	2002-6-3	1.81	北25舍211
09056051	茅春	女	2000-11-9	1.44	南8舍109
07093969	红霭	女	2003-6-8	1.54	南8舍318
06046223	丘东欣	女	2003-7-21	1.8	东9舍636
