c#	cname	period	credit	teacher
Bio-56	船舶水动力学	112	5.0	邓辰
Phys-45	中国哲学史	128	5.0	步好琦
Econ-20	数字营销与电子商务研究	112	7.5	步都福
IE-29	信号与系统	112	6.0	滕保
ME-82	运动解剖学	16	4.5	于单卡卿
Math-93	金融工程与风险管理研究	32	8.0	刁利
IE-31	发展经济学418. 经济史学	32	5.5	平轮
CS-85	信道编码与调制	128	4.0	松无飞
CS-35	经济学原理	128	5.0	狄礼亮
Phys-70	货币银行学	128	9.5	龙翔
ME-86	数量经济学	112	9.0	毕好以
Chem-01	机械振动学	128	8.0	郑丽
Math-55	城市规划原理	144	4.5	寿金琬
Stat-97	国际法与国际公法	96	1.5	余钰彩
CE-44	信息技术与管理研究	48	0.5	拓跋心
CS-14	机械运动学	16	7.0	温寒
Chem-72	普通物理学	16	7.0	通友澜
EE-79	中国现代文学史	128	7.0	娄智艳
AE-80	中国现代文学	96	2.0	卜好言
Bio-27	计算机组成原理	64	1.0	寿伊
Bio-36	财务管理	112	8.0	路钧
AE-20	军事伦理与法律	48	8.5	关安
Econ-05	生态系统管理与修复	16	8.0	孙轩九树
BE-67	分子物理学	112	3.5	凤凯桂
CS-82	通信原理上	32	5.0	甄磊
Chem-48	统计学原理	64	1.5	乐礼凝
Stat-19	金融市场与风险管理研究	48	7.0	路器锦
CS-22	古代汉语	80	6.0	子颛娥
ChE-37	外科学	112	0.5	羊邦
BE-14	无线通信技术	128	2.5	邢智士
CS-72	灾害预测与预警	64	9.0	邵会
EE-88	计算机操作系统下	96	5.0	车会
BE-09	汽车安全与舒适性	48	4.5	茅琰
Bio-02	体育教育	112	8.5	官司钧
Stat-82	通信原理下	128	6.5	郭电钧
ChE-84	环境工程与水资源研究	16	2.0	宰斌
CS-69	电磁学	160	2.5	边智菊
AE-08	军事历史与战争理论	112	8.5	单卿
IE-58	环境管理与可持续发展研究	16	7.0	殷都先
ME-24	数字营销与电子商务研究	144	7.0	尹婕
BE-34	经济学与政策研究	144	5.5	蔡彬
Econ-53	WEB安全下	64	6.5	李仁策
Chem-12	统计学原理	112	6.5	缪被怡
IE-67	经济发展与国际贸易研究	48	1.0	戈茗
Stat-56	电气工程概论	128	8.0	凌保
AE-12	几何学	80	5.5	周叶
ME-27	军事情报与侦察	80	3.0	仉督礼莎
AE-50	语义学	32	5.5	苍玉昌
ChE-46	生产过程控制	16	7.5	闻易震
Bio-42	图像处理下	64	8.0	罗晶
Math-52	计算机体系结构	96	7.5	徐九静
Econ-51	口腔医学	80	1.5	宋元
Phys-75	区块链技术	64	9.0	梁段云
BE-35	城市与区域规划研究	144	9.0	禹仪
IE-11	计算机音视频处理上	48	9.5	郑贝风
CE-70	数字营销与电子商务研究	80	3.5	鲍玉芬
IE-48	服务管理与质量控制研究	16	8.0	弓好有
ME-85	数字信号处理上	16	8.5	焦无晨
Ling-10	卫星通信	144	6.5	束上栋
Ling-12	建筑材料与结构	32	1.0	晏冰
Stat-12	金融市场与风险管理研究	80	5.5	武好舒
CE-99	经济地理与区域经济研究	80	4.0	公钰泰
Stat-45	社会学概论	128	9.0	殷易心
Bio-74	国际政治概论	112	5.5	亓官贝燕
Chem-56	体育法学	144	6.5	宋霄
Stat-53	无机化学	32	3.0	沈好浩
Chem-14	国际法与国际公法	16	6.5	项中仪
AE-52	经济学与政策研究	80	5.5	车梅
Phys-58	金融市场与投资研究	16	5.0	乐好新
Ling-19	社会学与社会问题研究	16	6.0	韦榕
CE-45	电力市场与经济	64	6.5	贝卡全
ChE-87	计算机系统性能分析	128	6.0	甄凝
AE-22	语用学	80	5.5	伍笑奇
IE-49	建筑法规与标准	128	3.0	韦电聪
CE-89	电路分析	48	8.0	靳九希
CE-13	法律与司法研究	160	1.5	林轮
Stat-23	服务管理与质量控制研究	128	0.5	洪玉翔
Ling-09	船舶动力系统	48	1.5	甫尉器胜
CS-57	分布式算法下	128	6.0	乌礼菁
Chem-59	信息技术与管理研究	80	7.0	邹萍
Bio-12	音乐创作	112	8.5	叶卿
ChE-22	计算机网络实验	96	4.0	富国
CS-76	企业社会责任与可持续发展研究	144	2.5	弓卡鸣
AE-07	人力资源发展与管理研究	32	2.0	阳淳义
Math-14	水生生态学	112	7.5	贾滢
IE-44	建筑经济学	80	3.5	林冠
ME-12	国际冲突与危机管理	112	5.0	姚好盛
Ling-61	供应链管理与电子商务研究	80	3.0	邱亨
Econ-06	艺术欣赏	16	1.0	封智琴
Math-10	数据库系统	96	2.0	冀永
Econ-50	政治与公共管理研究	32	5.0	钱杰
Phys-52	工业组织心理学	80	7.0	昌礼良
CE-82	国际政治概论	64	2.5	逄贝彬
Phys-74	信号与系统	128	2.0	孙玉邦
CE-23	金融市场与投资研究	80	6.0	葛馥
Math-88	企业战略与管理研究	128	5.5	麻洁
CS-92	原子物理学	112	7.5	缪眉
Bio-05	数字营销与电子商务研究	144	5.5	束智珍
BE-08	数字通信技术	96	1.5	荣姬
ME-45	军事战略与作战计划	64	1.5	弓歌露
CS-99	经济思想史	144	5.5	丁亨
Bio-95	环境经济学	96	8.5	潘电艺
EE-15	虚拟化技术上	64	2.0	公西娟
AE-14	外语翻译	112	8.0	禹器雄
EE-71	信息安全上	112	4.5	俟司被振
Econ-86	生态学概论	160	4.0	东山
Chem-06	光学	96	2.5	何露
AE-29	计算机体系结构	160	3.5	祖生
AE-66	交通运输规划与管理研究	80	5.5	凌电伯
Math-18	信息论与编码	160	5.0	龚亨
ChE-09	驱动程序开发下	48	7.5	国被荣
Chem-89	社会保障与社会福利研究	80	6.0	胡奇
AE-05	数字控制系统	128	6.5	靳礼婷
Ling-20	物联网技术	144	6.0	解都玉
ME-22	计算机组成原理	112	6.0	牧宜
Bio-90	军事战略与作战计划	160	7.0	乐电茗
Math-28	军事地理与战场环境	160	7.5	李欣
BE-53	嵌入式系统下	160	7.5	徐凯冰
Ling-81	国际冲突与危机管理	160	1.0	晏友行
Ling-71	经济发展与国际贸易研究	144	9.5	子颛马富
IE-89	文学理论	128	1.0	瞿凯致
Bio-10	环境工程与水资源研究	96	6.0	苏谦
ME-75	计算机辅助教育上	112	3.0	邢娜
CS-97	政治学与国际关系研究	144	5.5	詹上真
Stat-51	人力资源管理与招聘研究	32	8.5	弘胜
CE-18	军事地理与战场环境	64	4.0	邬马有
BE-44	创业管理	144	9.5	姚好梦
CE-32	营销管理与市场分析研究	96	1.5	段干贝翠
Math-70	社会保障与社会福利研究	64	4.5	项佳
EE-84	心理学实验设计	48	1.5	衡孝娣
ChE-42	创新创业实践	144	6.0	钱云
Econ-21	理论力学	16	3.0	计都风
Chem-97	绩效管理与激励研究	64	3.5	倪好俊
EE-41	数字控制系统	128	9.5	卢笑清
ChE-75	环境工程与水资源研究	96	2.0	凌栋
IE-90	病理学	144	9.0	燕智强
CS-00	社会调查与数据分析	160	8.0	杜加颖
CS-08	汽车动力系统	16	2.5	闫仁兴
ChE-77	绩效管理与激励研究	32	3.0	闻歌瑞
ME-34	社会保障与社会福利研究	16	4.5	封刚
IE-82	信息安全下	64	2.5	农贝富
Bio-25	自然语言处理下	80	7.0	闻人友元
IE-42	飞行器控制	16	2.5	陶加秀
Math-32	电子竞技管理	48	9.5	钟琼
Bio-20	计算机操作系统下	64	9.5	游雄
ChE-25	大气环境科学	96	1.0	湛礼良
ChE-13	地球化学	160	2.5	丘东电莎
Ling-44	云计算与大数据	64	2.5	束歌莎
Stat-37	大气环境学	96	7.5	门呼友香
Stat-38	社会保障与社会福利研究	16	6.5	邬会
EE-95	飞行器导航与制导	48	7.0	温玉珊
Econ-61	数据挖掘上	96	7.0	松贵
EE-04	内科学	64	4.0	芮贝绍
Chem-17	热学与统计物理学	80	8.0	邹马若
IE-51	社会学概论	64	8.0	巴金永
EE-64	计算机操作系统下	32	5.5	谷好飘
CE-25	企业战略与竞争研究	144	6.5	徐强
Math-91	嵌入式系统上	48	1.0	潘仁翔
EE-14	信息技术与管理研究	48	2.5	杭贝卿
Math-47	服务管理与质量控制研究	80	4.0	古卡政
Math-64	区块链技术	128	5.5	平淑
Phys-08	国际法与国际公法	96	8.0	汪义琛
BE-45	海军战术与战略	128	7.5	岑萍
EE-17	大数据上	112	9.5	韶好宁
Chem-69	音乐欣赏	144	1.5	桓仁家
CE-11	飞行器测试与验证	64	0.5	贺金寒
Chem-16	交通运输规划与管理研究	144	6.5	施飘
EE-87	哲学方法论	144	1.5	葛壮
AE-38	网络编程上	160	9.5	禹九青
EE-29	环境科学与可持续发展研究	32	1.5	燕建
Econ-98	离散数学	16	8.5	公加希
IE-53	微观经济学	64	6.5	苗河
Chem-26	数量经济学	144	8.0	邴礼亮
Chem-08	人力资源发展与管理研究	80	5.0	杜好思
Bio-69	金融市场与风险管理研究	112	2.0	龚燕
EE-97	光学	64	3.0	朱礼锦
CE-72	交通运输规划与管理研究	96	6.5	离宇都文
Math-22	美学	80	4.5	戴乐
AE-65	创业管理	144	2.0	荀泽
AE-96	临床诊断学	112	1.0	鱼琳
CS-68	环境管理与可持续发展研究	48	2.5	宣叶
Bio-80	网络与信息安全	16	0.5	鲁智楠
Ling-32	飞行器测试与验证	48	3.0	姚九贵
ChE-74	油画	64	6.0	姚仁冠
EE-26	经济与管理研究	128	7.0	邹礼岩
Econ-94	信息安全上	160	8.5	常义冠
CE-92	舞蹈编导	80	2.0	文文
BE-97	财务管理与会计审计研究	80	1.0	祖加富
Chem-77	计算机体系结构下	160	0.5	苗素
Ling-30	体育科学理论	80	9.0	季笑雄
Math-43	数据库系统上	64	6.5	狄被玉
Math-83	植物学	112	0.5	康马涛
Ling-82	美学	80	7.0	弘歌生
IE-62	区块链技术	32	0.5	龙马保
Stat-95	微分方程	128	3.5	褚红
Stat-00	虚拟现实与增强现实	128	1.5	强歌亚
Econ-40	互联网金融	144	9.5	顾卡轮
EE-66	发展经济学418. 经济史学	96	7.0	孔信竹
CE-83	固体废物处理技术	80	5.5	龚莉
Bio-41	微观经济学	96	8.0	农礼若
EE-33	现代哲学流派	96	6.5	国璧
Bio-06	音乐创作	80	0.5	姬士
ME-53	人力资源发展与管理研究	160	7.5	喻凝
Econ-07	城市政策与管理	160	2.5	储易宏
BE-75	城市与区域规划研究	32	8.5	梅岚
Econ-55	动物学	64	9.0	幸中辉
CS-41	原子物理学	160	1.5	武贵
IE-70	光纤通信	160	6.5	仇笑毅
Phys-81	数字营销与电子商务研究	80	2.5	叶电凤
Chem-45	生态学概论	64	8.0	晋伟
Math-30	计算机量子计算上	32	9.5	宫南凤
BE-05	WEB安全上	128	2.0	仇思
Stat-26	宗教学	64	4.0	林孝彪
Phys-93	市场营销研究方法	160	4.0	魏九永
CS-25	线性代数	64	8.5	甄珍
ChE-19	体育科学理论	32	3.0	司徒器辉
EE-57	物理学与天文学研究	48	8.5	习弘
Chem-84	化工与生物医学工程研究	32	6.0	政濮融
EE-34	地球物理学	48	6.0	尉迟加和
ME-78	现代汉语	32	5.0	郑仁琰
IE-09	计算机操作系统下	80	2.0	步华
Math-45	经济发展与国际贸易研究	96	9.5	高歌以
Ling-53	货币银行学	80	0.5	宁无妹
CE-30	量子计算	144	2.5	红上建
Chem-90	计算机动画上	144	9.5	彭无河
IE-34	音乐欣赏	112	3.5	左兴
IE-08	宗教学	64	0.5	茅冰
IE-14	计算机组成原理上	16	9.0	罗榕
AE-89	电子商务概论	112	7.5	邬雁
CS-78	金融市场与风险管理研究	80	2.5	江翠
Stat-90	中国哲学思想	96	9.0	晏忠楠
IE-06	产业经济学	80	5.5	陆都苑
Bio-89	网络安全下	112	1.5	苗雅
AE-57	城市与区域规划研究	128	2.0	宁霞
ChE-85	编译原理	32	1.0	杜振
Econ-16	供应链管理与电子商务研究	128	3.5	汤无奇
EE-67	国际法与国际公法	16	8.0	粱卡园
AE-26	机器学习下	112	4.0	韩义
BE-12	创业管理	128	5.0	刘晨
CE-79	电子商务运营管理	96	9.0	万俟澜
Math-87	金融监管	32	0.5	甄玉娟
CE-76	计算机程序设计实验	160	5.5	霍美
Bio-50	社会学与社会问题研究	112	5.0	郝琳
BE-77	外科学	64	5.0	毕茂
Math-38	量子力学	16	2.0	雕乐卿
Bio-85	计算机体系结构上	96	7.5	山凯力
EE-68	建筑设备与控制	128	6.0	温枫
Econ-70	生产计划与调度	80	3.0	拓跋红
Math-50	流体力学	16	9.5	步桂
BE-91	人工智能应用案例	32	7.5	茅言
AE-45	英美文学史	144	2.0	家中
ME-60	绩效管理与激励研究	128	3.5	邴浩
ME-54	企业战略与管理研究	96	9.0	万俟中磊
Phys-38	城市生态学	144	5.5	毛玉
CE-67	经济发展与国际贸易研究	96	8.0	顾薇
ChE-90	陆军战术与战略	96	6.0	容鲜礼才
Bio-47	英美文学史	32	8.0	解无薇
AE-72	城市与区域规划研究	160	4.5	秦莎
Ling-25	实变函数	80	6.0	劳枫
Stat-78	人力资源管理与招聘研究	48	2.0	闻家
ChE-79	数字营销与电子商务研究	80	4.5	昌利
BE-28	品牌管理	80	9.0	端木器峰
BE-06	保险学原理	32	8.0	成杰
IE-61	现代汉语	64	7.0	明亚
Stat-08	化学生物学	64	9.0	夏歌海
Bio-24	组织行为学	96	2.0	伍信良
IE-59	信息论与编码	80	4.0	舒善
ME-51	水污染控制工程	160	0.5	方好惠
BE-43	统计学	16	1.5	贺电姣
ChE-34	艺术与设计教育研究	48	9.5	晏朗
Chem-31	汽车动力系统	16	9.5	雷航
Math-42	钢琴演奏	64	9.5	向好仪
Math-16	环境管理与可持续发展研究	128	2.5	薛钰艺
Math-65	眼科学	128	9.0	门西泰
Phys-03	公共卫生学	144	9.0	红卡之
Phys-43	信息系统与企业管理研究	64	3.0	公西凯健
ME-17	数据结构与算法上	112	6.5	顾无融
Ling-91	汉语言文化概论	16	6.5	通艳
EE-74	政策分析与公共管理研究	144	3.0	祁好俊
Phys-84	品牌管理	16	1.5	万俟贝轮
Chem-34	信息技术与管理研究	144	2.5	罗娅
CS-65	建筑节能与环保	160	1.5	家绍
Math-49	金融工程与风险管理研究	96	5.0	步金泰
Chem-54	社会保障与社会福利研究	128	7.5	唐月
AE-92	外语教育学	16	0.5	祁新
BE-37	生命伦理学	112	0.5	骆友爱
ME-92	经济学与政策研究	64	2.0	靳翠
Phys-19	陆军战术与战略	160	9.0	井奇
Econ-26	军事地理与战场环境	80	0.5	孙慕刚
ME-58	计算机图形学下	80	2.5	逄孝政
Econ-89	内科学	32	5.0	乐晓
Econ-64	星系与宇宙	96	9.0	祖雅
Econ-57	地球内部动力学	128	4.0	荀友
ChE-59	心理学史	160	9.0	杜智义
ChE-88	数据库安全上	48	9.0	盖姣
Econ-87	海军战术与战略	16	0.5	姚珊
ME-44	计算机组成原理	32	6.5	项玉菲
AE-84	人因工程学	160	5.0	翁思
EE-85	机器人伦理与法律	16	4.0	石惠
AE-62	声乐表演	112	5.0	马智辉
CS-50	经济学与政策研究	144	3.0	郎华
Phys-96	钢琴演奏	16	4.0	邬仁明
EE-70	环境监测与评价	160	7.0	百里仁英
Stat-83	并行算法下	32	7.0	司徒瑗
Stat-80	组织行为学与领导研究	64	8.0	鲁孝岩
Stat-92	船舶水动力学	64	5.0	董玉惠
Phys-26	内科学	112	2.0	卞信博
CS-09	热学与统计物理学	128	6.0	周伟
Econ-91	宇宙学	96	4.5	孟浩
Math-13	水生生态学	32	1.5	桓苑
Econ-58	音乐理论	160	6.5	袁智才
Chem-64	城市政策与管理	64	3.0	安发
Econ-36	国际商务与跨文化管理研究	112	6.5	彭永
CE-81	驱动程序开发上	64	7.5	罗马俊
Stat-36	通信原理	160	4.0	温凯雪
Ling-95	供应链管理与电子商务研究	48	8.5	萧凯亚
IE-38	飞行器控制	128	3.0	山婉
ME-98	编译原理	64	3.0	关义纯
EE-63	战略管理	80	5.0	昌祥
ME-74	社会工作与社会政策研究	80	5.0	屈无凝
AE-91	城市与区域规划研究	80	9.5	尹孝艳
Ling-42	社会哲学	64	4.0	武梅
EE-32	城市政策与管理	64	6.0	盛笑筠
AE-15	信息管理	160	1.0	钱之
ME-76	中国古代文学	32	9.5	倪腾
Bio-18	城市与区域规划研究	128	1.5	甄顺
Stat-66	工业组织心理学	80	3.5	余信彬
CE-31	社会保障与社会福利研究	160	1.5	戚颖
CS-94	绩效管理	48	8.0	南宫礼瑞
CS-13	计算机体系结构	80	1.5	季丽
Ling-75	运筹学与优化	16	1.0	邬春
Ling-36	微观经济学	48	6.5	桓易琼
CE-80	海洋生态学	160	0.5	家竹
Econ-74	电力市场与经济	144	9.5	程翔
IE-91	计算机仿真下	144	7.5	明被芬
EE-93	媒介法律	80	2.0	万奇
Stat-99	船舶结构设计	128	3.0	劳晨
Econ-54	服务管理与质量控制研究	80	5.0	孔卡芸
Bio-70	电气工程概论	64	4.5	臧孝义
Bio-26	新闻采访与写作	16	4.5	华友永
BE-61	分布式算法下	48	6.5	冀上江
Bio-09	国际商务风险管理	48	9.0	裴无炎
Bio-57	计算机动画上	16	6.0	尤钰霄
Ling-28	海洋生态学	48	8.0	石娟
Chem-21	声乐表演	96	5.5	邵加云
Phys-35	嵌入式系统上	48	2.0	余家
Ling-05	薪酬管理	32	2.0	南门马强
ChE-62	城市与区域规划研究	64	9.0	侯义欢
Stat-63	环境科学与可持续发展研究	16	6.5	邹行
CS-05	嵌入式系统上	128	4.5	潘忠惠
CE-75	无线通信技术	32	9.0	刘伦
EE-86	供应链管理与物流研究	16	5.0	侯诚
Stat-03	城市经济地理学	160	8.0	夏侯爽
IE-15	组织行为学与领导研究	128	0.5	焦馥
ChE-26	信息安全上	144	5.0	邵寒
Chem-37	计算机量子计算上	112	1.5	冉安
Ling-33	森林生态学	144	6.0	滑钰敬
IE-54	内科学	128	4.0	宫昌
Math-53	金融市场与投资	144	5.0	彭笑珍
IE-66	船舶水动力学	80	6.0	尹友瑶
Stat-43	能源科学与工程研究	128	8.0	程影
Phys-78	大气环境学	96	9.5	阮毅
Ling-63	经济发展与国际贸易研究	80	0.5	车笑兰
Stat-04	复变函数	32	5.0	衡壮
ChE-10	环境管理与可持续发展研究	144	5.5	仇士
Stat-87	网络营销与推广	112	1.0	缪孝琼
EE-78	电力系统分析	48	7.0	终芸
AE-03	移动计算	64	3.0	茹信环
ChE-91	文艺美学	48	5.0	吴红
IE-81	艺术与设计教育研究	96	3.5	温忠薇
IE-98	量子计算	128	6.0	杜友菲
IE-30	服务管理与质量控制研究	16	4.0	龙加怡
Phys-65	军事历史与战争理论	48	3.0	慕容电燕
Ling-21	人类学概论	144	2.0	靳贝士
IE-07	计算机仿真下	144	2.5	祁钰清
EE-10	人力资源管理	160	0.5	吉仁壮
Bio-67	地球内部动力学	128	3.5	翁峰
Stat-31	物理化学	32	7.5	衡锦
ChE-89	人力资源管理与招聘研究	128	6.5	尚贝时
Phys-71	企业战略与竞争研究	112	7.0	邹晶
EE-80	数字营销	160	9.5	焦叶
CS-66	企业战略与组织结构	160	3.5	和仁筠
Bio-46	汉语言文化概论	80	9.5	季鹏
Ling-06	电影美学	48	5.5	益园
Math-84	金融市场与风险管理研究	64	6.0	姬若
Stat-21	高等代数	48	2.5	毕昭
Bio-61	大气环境学	32	9.5	应筠
Phys-41	交通运输规划与管理研究	80	6.0	郑九伊
BE-72	工业工程统计学	80	9.5	邱仁达
ME-26	人工智能应用	64	3.5	潘无枫
BE-25	企业社会责任与可持续发展研究	96	7.0	庞冰
Econ-79	经济学与社会发展研究	144	7.5	甫尉全
EE-50	数字营销与电子商务研究	128	9.5	宋无莲
Ling-72	服务管理与质量控制研究	96	8.0	邴歌诚
Bio-93	离散数学	112	2.0	方赫祥
AE-17	网络科学与虚拟社会研究	144	7.5	皇甫金婕
ME-37	组织行为学与领导研究	112	6.5	宗静
ME-39	人力资源发展与管理研究	16	1.5	尚友波
Phys-49	舞蹈历史	96	9.0	单上宁
Ling-34	机器人学下	112	3.0	石被莉
Econ-29	组织行为学	144	0.5	荀易天
Econ-46	电影艺术欣赏	160	2.0	许信光
Econ-23	灾害应急救援	144	1.5	游岩
CS-47	计算机智能化制造下	16	1.0	芮玉宜
BE-03	科学哲学	160	6.0	韦瑗
IE-77	医学信息学	128	8.0	于河
Bio-91	有机化学	32	6.0	巫马歌澜
Stat-13	计算机网络实验	64	3.5	姬霞
Ling-07	网络营销与推广	128	3.5	桂行
IE-20	人力资源开发与培训研究	80	6.5	寇仉霭
CE-97	细胞生物学	32	2.0	项信胜
Econ-78	机器学习上	16	7.5	高易祥
AE-24	物理化学	160	8.5	徐环
CS-88	组织行为学与领导研究	80	8.0	喻琰
CS-95	组织行为学与领导研究	80	9.5	荀光
Econ-30	培训与发展	160	6.5	齐伟
CS-19	化工热力学	144	0.5	游富
Phys-47	电子商务技术	48	3.5	卫子
Chem-81	财务管理与会计审计研究	64	8.5	石康
Ling-65	光学	80	2.5	秦笑钧
ME-23	计算机量子计算下	48	2.0	弘香
IE-27	自动控制原理	48	9.0	胡玉豪
Econ-08	生态学概论	128	7.5	司空金彬
BE-33	运动训练学	48	6.0	苍影
Phys-68	管理科学与决策分析研究	64	0.5	尹笑娅
EE-76	信息系统与企业管理研究	128	9.0	雷媛
Econ-12	环境科学概论	128	2.0	韦毓
Phys-80	分子物理学	32	3.0	洪敬
Phys-56	并行计算	16	6.0	吕礼兴
Stat-81	数字营销与电子商务研究	96	9.0	宫菲
Phys-24	钢琴演奏	144	4.5	凤笑珍
EE-94	实证经济学	96	7.5	屠公军
Stat-30	经济发展与国际贸易研究	160	6.0	谷器冠
Math-31	企业社会责任与可持续发展研究	32	6.0	臧勇
Ling-66	心理学与心理治疗研究	96	2.0	明卿
Math-89	电影艺术史	160	6.5	潘信慧
Chem-66	财务管理与会计审计研究	144	8.0	乔顺
Econ-67	中外文学比较	144	3.5	尤桂
IE-97	人类学概论	128	9.0	向无信
AE-63	计算机辅助设计下	128	9.0	吴友
AE-77	环境管理与可持续发展研究	32	2.5	邬都纨
ChE-35	灾害应急救援	128	4.0	慕容浩
Stat-71	化工过程控制	64	1.5	松岚
CE-36	中国哲学史	48	9.0	狄融
